Track_ID,Danceability,Energy
0,0.818,0.705
1,0.676,0.703
2,0.695,0.923
3,0.689,0.739
4,0.663,0.694
5,0.76,0.891
6,0.716,0.897
7,0.726,0.815
8,0.741,0.913
9,0.625,0.877
10,0.592,0.767
11,0.559,0.345
12,0.618,0.938
13,0.595,0.717
14,0.458,0.795
15,0.427,0.9
16,0.556,0.913
17,0.451,0.97
18,0.666,0.936
19,0.7,0.742
20,0.902,0.72
21,0.614,0.574
22,0.489,0.692
23,0.7,0.758
24,0.653,0.826
25,0.925,0.659
26,0.576,0.807
27,0.853,0.776
28,0.892,0.631
29,0.545,0.64
30,0.566,0.834
31,0.547,0.394
32,0.539,0.828
33,0.511,0.972
34,0.531,0.583
35,0.438,0.687
36,0.512,0.86
37,0.386,0.996
38,0.624,0.876
39,0.425,0.972
40,0.429,0.661
41,0.486,0.617
42,0.371,0.268
43,0.617,0.635
44,0.557,0.442
45,0.545,0.675
46,0.449,0.585
47,0.491,0.693
48,0.573,0.711
49,0.209,0.417
50,0.794,0.811
51,0.613,0.697
52,0.775,0.585
53,0.81,0.793
54,0.956,0.795
55,0.817,0.716
56,0.875,0.475
57,0.832,0.659
58,0.605,0.687
59,0.644,0.664
60,0.556,0.864
61,0.496,0.863
62,0.623,0.93
63,0.687,0.793
64,0.492,0.969
65,0.554,0.978
66,0.529,0.967
67,0.524,0.939
68,0.58,0.702
69,0.585,0.972
70,0.515,0.43
71,0.255,0.393
72,0.36,0.501
73,0.419,0.383
74,0.293,0.276
75,0.531,0.61
76,0.462,0.832
77,0.463,0.229
78,0.291,0.767
79,0.516,0.342
80,0.574,0.913
81,0.502,0.89
82,0.31,0.7
83,0.532,0.767
84,0.754,0.759
85,0.389,0.873
86,0.668,0.906
87,0.457,0.904
88,0.456,0.863
89,0.547,0.931
90,0.744,0.766
91,0.831,0.868
92,0.834,0.699
93,0.659,0.628
94,0.965,0.485
95,0.649,0.931
96,0.66,0.942
97,0.798,0.629
98,0.732,0.716
99,0.872,0.789
100,0.932,0.457
101,0.608,0.756
102,0.776,0.711
103,0.853,0.981
104,0.808,0.535
105,0.878,0.821
106,0.859,0.905
107,0.831,0.921
108,0.877,0.854
109,0.775,0.719
110,0.778,0.547
111,0.668,0.802
112,0.7,0.709
113,0.674,0.628
114,0.534,0.87
115,0.491,0.588
116,0.473,0.592
117,0.636,0.888
118,0.688,0.734
119,0.457,0.823
120,0.637,0.678
121,0.908,0.669
122,0.949,0.661
123,0.802,0.755
124,0.548,0.847
125,0.78,0.768
126,0.749,0.925
127,0.808,0.745
128,0.668,0.824
129,0.855,0.954
130,0.647,0.822
131,0.851,0.819
132,0.893,0.745
133,0.877,0.56
134,0.81,0.733
135,0.679,0.516
136,0.859,0.563
137,0.827,0.571
138,0.89,0.46
139,0.894,0.404
140,0.351,0.296
141,0.912,0.774
142,0.52,0.761
143,0.799,0.539
144,0.632,0.686
145,0.596,0.552
146,0.736,0.449
147,0.83,0.585
148,0.64,0.647
149,0.708,0.648
150,0.778,0.632
151,0.873,0.695
152,0.695,0.636
153,0.778,0.824
154,0.758,0.871
155,0.831,0.868
156,0.687,0.361
157,0.852,0.773
158,0.595,0.461
159,0.839,0.403
160,0.731,0.675
161,0.628,0.744
162,0.601,0.92
163,0.653,0.718
164,0.654,0.875
165,0.533,0.858
166,0.697,0.691
167,0.665,0.678
168,0.721,0.632
169,0.742,0.617
170,0.594,0.749
171,0.628,0.69
172,0.635,0.713
173,0.627,0.849
174,0.681,0.648
175,0.855,0.912
176,0.76,0.803
177,0.832,0.608
178,0.591,0.785
179,0.827,0.788
180,0.557,0.54
181,0.443,0.403
182,0.533,0.376
183,0.332,0.179
184,0.482,0.849
185,0.686,0.127
186,0.688,0.435
187,0.386,0.607
188,0.49,0.715
189,0.396,0.338
190,0.671,0.939
191,0.581,0.963
192,0.721,0.802
193,0.673,0.758
194,0.67,0.855
195,0.761,0.933
196,0.592,0.935
197,0.85,0.631
198,0.595,0.912
199,0.898,0.677
200,0.742,0.882
201,0.951,0.6
202,0.801,0.764
203,0.741,0.824
204,0.718,0.776
205,0.855,0.674
206,0.711,0.761
207,0.765,0.666
208,0.812,0.712
209,0.828,0.588
210,0.396,0.293
211,0.465,0.27
212,0.575,0.236
213,0.487,0.382
214,0.66,0.748
215,0.358,0.387
216,0.325,0.715
217,0.623,0.537
218,0.404,0.266
219,0.481,0.733
220,0.916,0.844
221,0.801,0.91
222,0.763,0.85
223,0.872,0.723
224,0.874,0.63
225,0.865,0.665
226,0.773,0.54
227,0.598,0.732
228,0.849,0.904
229,0.795,0.852
230,0.762,0.861
231,0.553,0.652
232,0.888,0.632
233,0.723,0.732
234,0.718,0.768
235,0.813,0.732
236,0.907,0.695
237,0.861,0.48
238,0.755,0.531
239,0.878,0.786
240,0.669,0.634
